,Nebraska,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,22362.193833861085,,
2020-01-25,0.0,22362.79414404435,,
2020-01-26,0.0,22363.122578719303,,
2020-01-27,0.0,22363.506754553673,,
2020-01-28,0.0,22364.17515030801,,
2020-01-29,0.0,22364.911190679282,,
2020-01-30,0.0,22366.230889034523,,
2020-01-31,0.0,22366.082258885337,,
2020-02-01,0.0,22364.93742441418,,
2020-02-02,0.0,22364.720979041602,,
2020-02-03,0.0,22365.222726494267,,
2020-02-04,0.0,22365.56723976552,,
2020-02-05,0.0,22365.262261070602,,
2020-02-06,0.0,22364.927001137155,,
2020-02-07,0.0,22365.009230355616,,
2020-02-08,0.0,22365.258404274413,,
2020-02-09,0.0,22365.28262029657,,
2020-02-10,0.0,22365.102741806408,,
2020-02-11,0.0,22365.029596296303,,
2020-02-12,0.0,22365.125677424156,,
2020-02-13,0.0,22365.210065846946,,
2020-02-14,0.0,22365.167330686596,,
2020-02-15,0.0,22365.09306308858,,
2020-02-16,0.0,22365.09849098521,,
2020-02-17,0.0,22365.152015901716,,
2020-02-18,0.0,22365.16595400091,,
2020-02-19,0.0,22365.13201012817,,
2020-02-20,0.0,22365.111106970082,,
2020-02-21,0.0,22365.12799824807,,
2020-02-22,0.0,22365.148374174536,,
2020-02-23,0.0,22365.143033913984,,
2020-02-24,0.0,22365.126789217444,,
2020-02-25,0.0,22365.125230073772,,
2020-02-26,0.0,22365.136178354685,,
2020-02-27,0.0,22365.140897053167,,
2020-02-28,0.0,22365.134664086225,,
2020-02-29,0.0,22365.12927426576,,
2020-03-01,0.0,22365.131907526273,,
2020-03-02,0.0,22365.136590953814,,
2020-03-03,0.0,22365.13626432018,,
2020-03-04,0.0,22365.132834792254,,
2020-03-05,0.0,22365.13193868512,,
2020-03-06,1.0,22365.134071491142,,
2020-03-07,1.0,22364.305899722658,,
2020-03-08,1.0,22365.502983974464,,
2020-03-09,3.0,22365.227997678234,,
2020-03-10,3.0,22363.410485039403,,
2020-03-11,5.0,22365.88481741961,,
2020-03-12,10.0,22363.841908689876,,
2020-03-13,14.0,22362.05218658442,,
2020-03-14,18.0,22363.899950141567,,
2020-03-15,17.0,22363.675415865255,,
2020-03-16,18.0,22368.316393256628,,
2020-03-17,23.0,22364.712403713867,,
2020-03-18,24.0,22362.36830137764,,
2020-03-19,29.0,22369.07216611005,,
2020-03-20,37.0,22364.015569727522,,
2020-03-21,38.0,22360.36844794795,,
2020-03-22,51.0,22365.983572147637,,
2020-03-23,51.0,22355.709601172774,,
2020-03-24,66.0,22373.15831286053,,
2020-03-25,71.0,22356.04566559183,,
2020-03-26,74.0,22367.24801387676,,
2020-03-27,82.0,22368.483192413456,,
2020-03-28,96.0,22361.50526699236,,
2020-03-29,108.0,22360.894488860224,,
