,New Hampshire,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,6165.136450949859,,
2020-01-25,0.0,6165.230432835044,,
2020-01-26,0.0,6165.308726976624,,
2020-01-27,0.0,6165.395668810282,,
2020-01-28,0.0,6165.470685293412,,
2020-01-29,0.0,6165.571518484249,,
2020-01-30,0.0,6165.70903414132,,
2020-01-31,0.0,6165.70903414132,,
2020-02-01,0.0,6165.70903414132,,
2020-02-02,0.0,6165.70903414132,,
2020-02-03,0.0,6165.70903414132,,
2020-02-04,0.0,6165.70903414132,,
2020-02-05,0.0,6165.70903414132,,
2020-02-06,0.0,6165.70903414132,,
2020-02-07,0.0,6165.70903414132,,
2020-02-08,0.0,6165.70903414132,,
2020-02-09,0.0,6165.70903414132,,
2020-02-10,0.0,6165.70903414132,,
2020-02-11,0.0,6165.70903414132,,
2020-02-12,0.0,6165.70903414132,,
2020-02-13,0.0,6165.70903414132,,
2020-02-14,0.0,6165.70903414132,,
2020-02-15,0.0,6165.70903414132,,
2020-02-16,0.0,6165.70903414132,,
2020-02-17,0.0,6165.70903414132,,
2020-02-18,0.0,6165.70903414132,,
2020-02-19,0.0,6165.70903414132,,
2020-02-20,0.0,6165.70903414132,,
2020-02-21,0.0,6165.70903414132,,
2020-02-22,0.0,6165.70903414132,,
2020-02-23,0.0,6165.70903414132,,
2020-02-24,0.0,6165.70903414132,,
2020-02-25,0.0,6165.70903414132,,
2020-02-26,0.0,6165.70903414132,,
2020-02-27,0.0,6165.70903414132,,
2020-02-28,0.0,6165.70903414132,,
2020-02-29,0.0,6165.70903414132,,
2020-03-01,0.0,6165.70903414132,,
2020-03-02,1.0,6165.70903414132,,
2020-03-03,2.0,6164.545016577553,,
2020-03-04,2.0,6164.793144937354,,
2020-03-05,2.0,6166.094539202133,,
2020-03-06,2.0,6166.009603796758,,
2020-03-07,2.0,6166.00564345796,,
2020-03-08,4.0,6166.083739150055,,
2020-03-09,4.0,6163.8629022001005,,
2020-03-10,4.0,6166.445905400714,,
2020-03-11,5.0,6165.983787543345,,
2020-03-12,6.0,6164.871402486405,,
2020-03-13,6.0,6165.059977661782,,
2020-03-14,7.0,6166.577116495175,,
2020-03-15,7.0,6165.326815312578,,
2020-03-16,17.0,6166.25377181776,,
2020-03-17,26.0,6154.580940213398,,
2020-03-18,37.0,6158.359255806161,,
2020-03-19,42.0,6156.885794090216,,
2020-03-20,53.0,6165.727966780178,,
2020-03-21,61.0,6158.700141201786,,
2020-03-22,73.0,6165.22194531787,,
2020-03-23,101.0,6162.098281938763,,
2020-03-24,101.0,6144.475006561173,,
2020-03-25,108.0,6180.9314754179695,,
2020-03-26,137.0,6168.290352984816,,
2020-03-27,158.0,6144.436891491067,,
2020-03-28,187.0,6157.978062862105,,
