,North Carolina,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,414.0275573730469,326.1604309082031,527.8168334960938
2020-02-03,0.0,398.3683776855469,341.8094787597656,461.3489074707031
2020-02-04,0.0,491.726806640625,413.5752868652344,599.1476440429688
2020-02-05,0.0,545.4089965820312,492.1174621582031,604.3108520507812
2020-02-06,0.0,664.8932495117188,610.6770629882812,762.9182739257812
2020-02-07,0.0,708.736328125,642.309326171875,814.1923828125
2020-02-08,0.0,796.1316528320312,734.6951904296875,912.4520874023438
2020-02-09,0.0,414.0275573730469,326.1604309082031,527.8168334960938
2020-02-10,0.0,398.3683776855469,341.8094787597656,461.3489074707031
2020-02-11,0.0,491.726806640625,413.5752868652344,599.1476440429688
2020-02-12,0.0,545.4089965820312,492.1174621582031,604.3108520507812
2020-02-13,0.0,664.8932495117188,610.6770629882812,762.9182739257812
2020-02-14,0.0,708.736328125,642.309326171875,814.1923828125
2020-02-15,0.0,796.1316528320312,734.6951904296875,912.4520874023438
2020-02-16,0.0,414.0275573730469,326.1604309082031,527.8168334960938
2020-02-17,0.0,398.3683776855469,341.8094787597656,461.3489074707031
2020-02-18,0.0,491.726806640625,413.5752868652344,599.1476440429688
2020-02-19,0.0,545.4089965820312,492.1174621582031,604.3108520507812
2020-02-20,0.0,664.8932495117188,610.6770629882812,762.9182739257812
2020-02-21,0.0,708.736328125,642.309326171875,814.1923828125
2020-02-22,0.0,796.1316528320312,734.6951904296875,912.4520874023438
2020-02-23,0.0,414.0275573730469,326.1604309082031,527.8168334960938
2020-02-24,0.0,398.3683776855469,341.8094787597656,461.3489074707031
2020-02-25,0.0,491.726806640625,413.5752868652344,599.1476440429688
2020-02-26,0.0,545.4089965820312,492.1174621582031,604.3108520507812
2020-02-27,0.0,664.8932495117188,610.6770629882812,762.9182739257812
2020-02-28,0.0,708.736328125,642.309326171875,814.1923828125
2020-02-29,0.0,796.1316528320312,734.6951904296875,912.4520874023438
2020-03-01,0.0,414.0275573730469,326.1604309082031,527.8168334960938
2020-03-02,0.0,398.3683776855469,341.8094787597656,461.3489074707031
2020-03-03,1.0,491.726806640625,413.5752868652344,599.1476440429688
2020-03-04,1.0,545.4089965820312,492.1174621582031,604.3108520507812
2020-03-05,1.0,664.8932495117188,610.6770629882812,762.9182739257812
2020-03-06,2.0,708.736328125,642.309326171875,814.1923828125
2020-03-07,2.0,796.1316528320312,734.6951904296875,912.4520874023438
2020-03-08,2.0,414.108642578125,326.24163818359375,527.8933715820312
