,Oregon,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,83.22569274902344,76.07135009765625,96.79951477050781
2020-02-03,0.0,95.67029571533203,82.33251190185547,113.24443817138672
2020-02-04,0.0,116.4592514038086,105.12945556640625,129.90048217773438
2020-02-05,0.0,131.7440185546875,119.66217041015625,145.6680145263672
2020-02-06,0.0,143.21026611328125,123.56383514404297,160.15943908691406
2020-02-07,0.0,173.01072692871094,156.2291717529297,190.63267517089844
2020-02-08,0.0,187.9405059814453,167.65457153320312,206.22525024414062
2020-02-09,0.0,83.22569274902344,76.07135009765625,96.79951477050781
2020-02-10,0.0,95.67029571533203,82.33251190185547,113.24443817138672
2020-02-11,0.0,116.4592514038086,105.12945556640625,129.90048217773438
2020-02-12,0.0,131.7440185546875,119.66217041015625,145.6680145263672
2020-02-13,0.0,143.21026611328125,123.56383514404297,160.15943908691406
2020-02-14,0.0,173.01072692871094,156.2291717529297,190.63267517089844
2020-02-15,0.0,187.9405059814453,167.65457153320312,206.22525024414062
2020-02-16,0.0,83.22569274902344,76.07135009765625,96.79951477050781
2020-02-17,0.0,95.67029571533203,82.33251190185547,113.24443817138672
2020-02-18,0.0,116.4592514038086,105.12945556640625,129.90048217773438
2020-02-19,0.0,131.7440185546875,119.66217041015625,145.6680145263672
2020-02-20,0.0,143.21026611328125,123.56383514404297,160.15943908691406
2020-02-21,0.0,173.01072692871094,156.2291717529297,190.63267517089844
2020-02-22,0.0,187.9405059814453,167.65457153320312,206.22525024414062
2020-02-23,0.0,83.22569274902344,76.07135009765625,96.79951477050781
2020-02-24,0.0,95.67029571533203,82.33251190185547,113.24443817138672
2020-02-25,0.0,116.4592514038086,105.12945556640625,129.90048217773438
2020-02-26,0.0,131.7440185546875,119.66217041015625,145.6680145263672
2020-02-27,0.0,143.21026611328125,123.56383514404297,160.15943908691406
2020-02-28,0.0,173.01072692871094,156.2291717529297,190.63267517089844
2020-02-29,1.0,187.9405059814453,167.65457153320312,206.22525024414062
2020-03-01,1.0,83.22569274902344,76.07135009765625,96.79951477050781
2020-03-02,3.0,95.67029571533203,82.33251190185547,113.24443817138672
2020-03-03,3.0,116.4592514038086,105.12945556640625,129.90048217773438
2020-03-04,3.0,131.7440185546875,119.66217041015625,145.6680145263672
2020-03-05,3.0,143.21026611328125,123.56383514404297,160.15943908691406
2020-03-06,3.0,173.01072692871094,156.2291717529297,190.63267517089844
2020-03-07,6.0,187.9405059814453,167.65457153320312,206.22525024414062
2020-03-08,14.0,84.17202758789062,77.01057434082031,97.82032012939453
