,Rhode Island,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,17793.37038610163,,
2020-01-25,0.0,17793.55326380332,,
2020-01-26,0.0,17793.904753863066,,
2020-01-27,0.0,17793.89095125091,,
2020-01-28,0.0,17794.124245697894,,
2020-01-29,0.0,17794.299003385648,,
2020-01-30,0.0,17794.671205337083,,
2020-01-31,0.0,17794.500506209293,,
2020-02-01,0.0,17794.555717403462,,
2020-02-02,0.0,17794.535068533543,,
2020-02-03,0.0,17794.542419528054,,
2020-02-04,0.0,17794.539754611873,,
2020-02-05,0.0,17794.540714446823,,
2020-02-06,0.0,17794.540367924372,,
2020-02-07,0.0,17794.54049292088,,
2020-02-08,0.0,17794.540447818723,,
2020-02-09,0.0,17794.540464091016,,
2020-02-10,0.0,17794.540458219944,,
2020-02-11,0.0,17794.54046033821,,
2020-02-12,0.0,17794.540459573942,,
2020-02-13,0.0,17794.540459849686,,
2020-02-14,0.0,17794.5404597502,,
2020-02-15,0.0,17794.540459786094,,
2020-02-16,0.0,17794.540459773143,,
2020-02-17,0.0,17794.540459777814,,
2020-02-18,0.0,17794.54045977613,,
2020-02-19,0.0,17794.540459776737,,
2020-02-20,0.0,17794.54045977652,,
2020-02-21,0.0,17794.540459776596,,
2020-02-22,0.0,17794.540459776566,,
2020-02-23,0.0,17794.540459776577,,
2020-02-24,0.0,17794.540459776574,,
2020-02-25,0.0,17794.540459776577,,
2020-02-26,0.0,17794.540459776574,,
2020-02-27,0.0,17794.540459776577,,
2020-02-28,0.0,17794.540459776577,,
2020-02-29,0.0,17794.540459776577,,
2020-03-01,1.0,17794.540459776577,,
2020-03-02,2.0,17793.6950615251,,
2020-03-03,2.0,17793.645845922172,,
2020-03-04,2.0,17795.035237575652,,
2020-03-05,2.0,17794.839134608927,,
2020-03-06,2.0,17794.585504553423,,
2020-03-07,3.0,17794.909257805033,,
2020-03-08,3.0,17794.082589231777,,
2020-03-09,3.0,17794.688817032933,,
2020-03-10,3.0,17795.013169273123,,
2020-03-11,5.0,17794.320860302123,,
2020-03-12,3.0,17793.13074722033,,
2020-03-13,12.0,17796.214607745118,,
2020-03-14,20.0,17788.426178599773,,
2020-03-15,20.0,17785.644625055014,,
2020-03-16,21.0,17800.154118418544,,
2020-03-17,23.0,17795.40082385406,,
2020-03-18,33.0,17793.91770321306,,
2020-03-19,44.0,17788.717749597155,,
2020-03-20,54.0,17789.305097907058,,
2020-03-21,66.0,17792.144076675682,,
2020-03-22,83.0,17787.602991116004,,
2020-03-23,106.0,17785.86607649164,,
2020-03-24,124.0,17782.75553666647,,
2020-03-25,132.0,17791.19297285326,,
2020-03-26,165.0,17801.84399868287,,
2020-03-27,203.0,17778.521312824603,,
2020-03-28,239.0,17771.63801660491,,
2020-03-29,294.0,17789.464384921976,,
