,Tennessee,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,464.6927795410156,346.2441101074219,693.319091796875
2020-02-03,0.0,615.353271484375,497.31610107421875,835.6834716796875
2020-02-04,0.0,687.5390014648438,556.6351928710938,909.5640258789062
2020-02-05,0.0,763.574951171875,622.2271118164062,1001.75927734375
2020-02-06,0.0,926.2794799804688,767.8452758789062,1191.25244140625
2020-02-07,0.0,978.8623046875,843.5751342773438,1225.7266845703125
2020-02-08,0.0,1085.4732666015625,926.4462280273438,1341.15869140625
2020-02-09,0.0,464.6927795410156,346.2441101074219,693.319091796875
2020-02-10,0.0,615.353271484375,497.31610107421875,835.6834716796875
2020-02-11,0.0,687.5390014648438,556.6351928710938,909.5640258789062
2020-02-12,0.0,763.574951171875,622.2271118164062,1001.75927734375
2020-02-13,0.0,926.2794799804688,767.8452758789062,1191.25244140625
2020-02-14,0.0,978.8623046875,843.5751342773438,1225.7266845703125
2020-02-15,0.0,1085.4732666015625,926.4462280273438,1341.15869140625
2020-02-16,0.0,464.6927795410156,346.2441101074219,693.319091796875
2020-02-17,0.0,615.353271484375,497.31610107421875,835.6834716796875
2020-02-18,0.0,687.5390014648438,556.6351928710938,909.5640258789062
2020-02-19,0.0,763.574951171875,622.2271118164062,1001.75927734375
2020-02-20,0.0,926.2794799804688,767.8452758789062,1191.25244140625
2020-02-21,0.0,978.8623046875,843.5751342773438,1225.7266845703125
2020-02-22,0.0,1085.4732666015625,926.4462280273438,1341.15869140625
2020-02-23,0.0,464.6927795410156,346.2441101074219,693.319091796875
2020-02-24,0.0,615.353271484375,497.31610107421875,835.6834716796875
2020-02-25,0.0,687.5390014648438,556.6351928710938,909.5640258789062
2020-02-26,0.0,763.574951171875,622.2271118164062,1001.75927734375
2020-02-27,0.0,926.2794799804688,767.8452758789062,1191.25244140625
2020-02-28,0.0,978.8623046875,843.5751342773438,1225.7266845703125
2020-02-29,0.0,1085.4732666015625,926.4462280273438,1341.15869140625
2020-03-01,0.0,464.6927795410156,346.2441101074219,693.319091796875
2020-03-02,0.0,615.353271484375,497.31610107421875,835.6834716796875
2020-03-03,0.0,687.5390014648438,556.6351928710938,909.5640258789062
2020-03-04,0.0,763.574951171875,622.2271118164062,1001.75927734375
2020-03-05,1.0,926.2794799804688,767.8452758789062,1191.25244140625
2020-03-06,1.0,978.8623046875,843.5751342773438,1225.7266845703125
2020-03-07,1.0,1085.4732666015625,926.4462280273438,1341.15869140625
2020-03-08,3.0,464.6927795410156,346.2441101074219,693.319091796875
