,Texas,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,317851.85251498804,,
2020-01-25,0.0,317853.9462106423,,
2020-01-26,0.0,317866.22379547125,,
2020-01-27,0.0,317887.9115919697,,
2020-01-28,0.0,317965.67373051733,,
2020-01-29,0.0,318028.3091786272,,
2020-01-30,0.0,317977.44958144973,,
2020-01-31,0.0,317943.81089957966,,
2020-02-01,0.0,317919.98603098013,,
2020-02-02,0.0,317902.28236528434,,
2020-02-03,0.0,317888.65266804496,,
2020-02-04,0.0,317877.87042050017,,
2020-02-05,0.0,317869.1559577112,,
2020-02-06,0.0,317861.9899125502,,
2020-02-07,0.0,317856.01292203076,,
2020-02-08,0.0,317850.9683907285,,
2020-02-09,0.0,317846.66818574764,,
2020-02-10,0.0,317842.97121557395,,
2020-02-11,0.0,317839.7695801439,,
2020-02-12,0.0,317836.9793438005,,
2020-02-13,0.0,317834.53422577586,,
2020-02-14,0.0,317832.38118580764,,
2020-02-15,0.0,317830.47727242386,,
2020-02-16,0.0,317828.7873316725,,
2020-02-17,0.0,317827.28231412306,,
2020-02-18,0.0,317825.9380054485,,
2020-02-19,0.0,317824.73406185117,,
2020-02-20,0.0,317823.65326816903,,
2020-02-21,0.0,317822.68096086395,,
2020-02-22,0.0,317821.8045746259,,
2020-02-23,0.0,317821.0132827211,,
2020-02-24,0.0,317820.2977091856,,
2020-02-25,0.0,317819.649696624,,
2020-02-26,0.0,317819.0621174374,,
2020-02-27,0.0,317818.52871925913,,
2020-02-28,0.0,317818.04399755015,,
2020-02-29,0.0,317817.60308991995,,
2020-03-01,0.0,317817.20168794575,,
2020-03-02,0.0,317816.8359631811,,
2020-03-03,0.0,317816.5025047409,,
2020-03-04,0.0,317816.1982663873,,
2020-03-05,3.0,317815.92052145745,,
2020-03-06,4.0,317814.24205464293,,
2020-03-07,8.0,317815.47869907203,,
2020-03-08,11.0,317813.5330513859,,
2020-03-09,13.0,317813.2332397185,,
2020-03-10,16.0,317815.2492754897,,
2020-03-11,21.0,317813.99653036956,,
2020-03-12,27.0,317813.5704437471,,
2020-03-13,44.0,317814.6871686804,,
2020-03-14,60.0,317808.26942326187,,
2020-03-15,63.0,317809.69980579586,,
2020-03-16,85.0,317816.5818197828,,
2020-03-17,110.0,317802.5401826425,,
2020-03-18,196.0,317809.08470291854,,
2020-03-19,306.0,317790.12585192977,,
2020-03-20,429.0,317776.77776488184,,
2020-03-21,582.0,317775.27224939456,,
2020-03-22,643.0,317751.6854011366,,
2020-03-23,758.0,317816.3265802517,,
2020-03-24,955.0,317807.7494039531,,
2020-03-25,1229.0,317781.0782375287,,
2020-03-26,1563.0,317808.15027262253,,
2020-03-27,1937.0,317752.0746870767,,
2020-03-28,2455.0,317690.42726119986,,
2020-03-29,2792.0,317658.0512400391,,
