,Utah,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,190.9805450439453,180.605224609375,209.18710327148438
2020-02-03,0.0,216.1419219970703,209.90528869628906,226.02197265625
2020-02-04,0.0,220.7523193359375,209.9560089111328,239.07550048828125
2020-02-05,0.0,249.97056579589844,235.4315643310547,273.7955322265625
2020-02-06,0.0,278.7344665527344,264.0547180175781,296.1501159667969
2020-02-07,0.0,306.4478454589844,288.5988464355469,336.7030029296875
2020-02-08,0.0,356.8282775878906,339.26751708984375,385.4881896972656
2020-02-09,0.0,190.9805450439453,180.605224609375,209.18710327148438
2020-02-10,0.0,216.1419219970703,209.90528869628906,226.02197265625
2020-02-11,0.0,220.7523193359375,209.9560089111328,239.07550048828125
2020-02-12,0.0,249.97056579589844,235.4315643310547,273.7955322265625
2020-02-13,0.0,278.7344665527344,264.0547180175781,296.1501159667969
2020-02-14,0.0,306.4478454589844,288.5988464355469,336.7030029296875
2020-02-15,0.0,356.8282775878906,339.26751708984375,385.4881896972656
2020-02-16,0.0,190.9805450439453,180.605224609375,209.18710327148438
2020-02-17,0.0,216.1419219970703,209.90528869628906,226.02197265625
2020-02-18,0.0,220.7523193359375,209.9560089111328,239.07550048828125
2020-02-19,0.0,249.97056579589844,235.4315643310547,273.7955322265625
2020-02-20,0.0,278.7344665527344,264.0547180175781,296.1501159667969
2020-02-21,0.0,306.4478454589844,288.5988464355469,336.7030029296875
2020-02-22,0.0,356.8282775878906,339.26751708984375,385.4881896972656
2020-02-23,0.0,190.9805450439453,180.605224609375,209.18710327148438
2020-02-24,0.0,216.1419219970703,209.90528869628906,226.02197265625
2020-02-25,0.0,220.7523193359375,209.9560089111328,239.07550048828125
2020-02-26,0.0,249.97056579589844,235.4315643310547,273.7955322265625
2020-02-27,0.0,278.7344665527344,264.0547180175781,296.1501159667969
2020-02-28,0.0,306.4478454589844,288.5988464355469,336.7030029296875
2020-02-29,0.0,356.8282775878906,339.26751708984375,385.4881896972656
2020-03-01,0.0,190.9805450439453,180.605224609375,209.18710327148438
2020-03-02,0.0,216.1419219970703,209.90528869628906,226.02197265625
2020-03-03,0.0,220.7523193359375,209.9560089111328,239.07550048828125
2020-03-04,0.0,249.97056579589844,235.4315643310547,273.7955322265625
2020-03-05,0.0,278.7344665527344,264.0547180175781,296.1501159667969
2020-03-06,0.0,306.4478454589844,288.5988464355469,336.7030029296875
2020-03-07,1.0,356.8282775878906,339.26751708984375,385.4881896972656
2020-03-08,1.0,190.9805450439453,180.605224609375,209.18710327148438
