,Vermont,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,1334.031357629204,,
2020-01-25,0.0,1334.043979706333,,
2020-01-26,0.0,1334.0566018954426,,
2020-01-27,0.0,1334.060261510288,,
2020-01-28,0.0,1334.0693147108555,,
2020-01-29,0.0,1334.0782238479976,,
2020-01-30,0.0,1334.081634970154,,
2020-01-31,0.0,1334.0778185824852,,
2020-02-01,0.0,1334.070633194081,,
2020-02-02,0.0,1334.0650807311313,,
2020-02-03,0.0,1334.0634466802326,,
2020-02-04,0.0,1334.0654375307736,,
2020-02-05,0.0,1334.069323265571,,
2020-02-06,0.0,1334.0727525384307,,
2020-02-07,0.0,1334.0738062381606,,
2020-02-08,0.0,1334.0722106128214,,
2020-02-09,0.0,1334.069406264039,,
2020-02-10,0.0,1334.067223109954,,
2020-02-11,0.0,1334.0666676847925,,
2020-02-12,0.0,1334.0676676189626,,
2020-02-13,0.0,1334.069396661273,,
2020-02-14,0.0,1334.0707890720125,,
2020-02-15,0.0,1334.0711160710728,,
2020-02-16,0.0,1334.0703761482948,,
2020-02-17,0.0,1334.0691910489982,,
2020-02-18,0.0,1334.0683053582593,,
2020-02-19,0.0,1334.0681341891668,,
2020-02-20,0.0,1334.068624633465,,
2020-02-21,0.0,1334.0693860802126,,
2020-02-22,0.0,1334.0699520399028,,
2020-02-23,0.0,1334.0700429328292,,
2020-02-24,0.0,1334.0696953187473,,
2020-02-25,0.0,1334.0691862308486,,
2020-02-26,0.0,1334.068827298396,,
2020-02-27,0.0,1334.0687842152195,,
2020-02-28,0.0,1334.0690187377584,,
2020-02-29,0.0,1334.0693502124402,,
2020-03-01,0.0,1334.0695785434445,,
2020-03-02,0.0,1334.0695967715483,,
2020-03-03,0.0,1334.069434306287,,
2020-03-04,0.0,1334.069215348164,,
2020-03-05,0.0,1334.0690710769031,,
2020-03-06,0.0,1334.0690659383554,,
2020-03-07,0.0,1334.0691759693668,,
2020-03-08,1.0,1334.0693190012719,,
2020-03-09,1.0,1333.4784117401273,,
2020-03-10,1.0,1334.258742032489,,
2020-03-11,1.0,1334.3013590556861,,
2020-03-12,2.0,1334.0676157048417,,
2020-03-13,2.0,1333.579171679808,,
2020-03-14,5.0,1334.3788479145971,,
2020-03-15,5.0,1332.5981517075486,,
2020-03-16,12.0,1334.6263672769944,,
2020-03-17,12.0,1330.661098570353,,
2020-03-18,13.0,1335.4316153884968,,
2020-03-19,22.0,1335.4316899000062,,
2020-03-20,29.0,1329.288404321248,,
2020-03-21,49.0,1332.7626344610962,,
2020-03-22,52.0,1326.4481500126892,,
2020-03-23,75.0,1338.0614010850718,,
2020-03-24,95.0,1326.4033135612558,,
2020-03-25,125.0,1328.5333509980196,,
2020-03-26,158.0,1328.433288511128,,
