,Virgin Islands,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,2.2836244106292725,1.4076156616210938,2.985214948654175
2020-02-03,0.0,2.4307973384857178,1.1306133270263672,3.6140832901000977
2020-02-04,0.0,3.0869414806365967,2.096388816833496,3.88238787651062
2020-02-05,0.0,4.605137825012207,3.440490961074829,5.50031042098999
2020-02-06,0.0,4.722744464874268,3.6964309215545654,5.649810791015625
2020-02-07,0.0,5.873986721038818,5.436304092407227,6.245893955230713
2020-02-08,0.0,5.9885334968566895,4.92280912399292,6.562342643737793
2020-02-09,0.0,2.2836244106292725,1.4076156616210938,2.985214948654175
2020-02-10,0.0,2.4307973384857178,1.1306133270263672,3.6140832901000977
2020-02-11,0.0,3.0869414806365967,2.096388816833496,3.88238787651062
2020-02-12,0.0,4.605137825012207,3.440490961074829,5.50031042098999
2020-02-13,0.0,4.722744464874268,3.6964309215545654,5.649810791015625
2020-02-14,0.0,5.873986721038818,5.436304092407227,6.245893955230713
2020-02-15,0.0,5.9885334968566895,4.92280912399292,6.562342643737793
2020-02-16,0.0,2.2836244106292725,1.4076156616210938,2.985214948654175
2020-02-17,0.0,2.4307973384857178,1.1306133270263672,3.6140832901000977
2020-02-18,0.0,3.0869414806365967,2.096388816833496,3.88238787651062
2020-02-19,0.0,4.605137825012207,3.440490961074829,5.50031042098999
2020-02-20,0.0,4.722744464874268,3.6964309215545654,5.649810791015625
2020-02-21,0.0,5.873986721038818,5.436304092407227,6.245893955230713
2020-02-22,0.0,5.9885334968566895,4.92280912399292,6.562342643737793
2020-02-23,0.0,2.2836244106292725,1.4076156616210938,2.985214948654175
2020-02-24,0.0,2.4307973384857178,1.1306133270263672,3.6140832901000977
2020-02-25,0.0,3.0869414806365967,2.096388816833496,3.88238787651062
2020-02-26,0.0,4.605137825012207,3.440490961074829,5.50031042098999
2020-02-27,0.0,4.722744464874268,3.6964309215545654,5.649810791015625
2020-02-28,0.0,5.873986721038818,5.436304092407227,6.245893955230713
2020-02-29,0.0,5.9885334968566895,4.92280912399292,6.562342643737793
2020-03-01,0.0,2.2836244106292725,1.4076156616210938,2.985214948654175
2020-03-02,0.0,2.4307973384857178,1.1306133270263672,3.6140832901000977
2020-03-03,0.0,3.0869414806365967,2.096388816833496,3.88238787651062
2020-03-04,0.0,4.605137825012207,3.440490961074829,5.50031042098999
2020-03-05,0.0,4.722744464874268,3.6964309215545654,5.649810791015625
2020-03-06,0.0,5.873986721038818,5.436304092407227,6.245893955230713
