,Virgin Islands,forecast,interval_low,interval_high
2020-01-22,0.0,-0.00213242182508111,-0.011344730854034424,0.0009663999080657959
2020-01-23,0.0,-0.00022665262804366648,-0.001186370849609375,0.0006292164325714111
2020-01-24,0.0,-0.0013462841743603349,-0.007456600666046143,0.002000361680984497
2020-01-25,0.0,0.0011859893565997481,0.00010392069816589355,0.0018039047718048096
2020-01-26,0.0,-0.0006780028343200684,-0.00116044282913208,-0.00013172626495361328
2020-01-27,0.0,-0.0012668430572375655,-0.0064740777015686035,0.00028580427169799805
2020-01-28,0.0,-0.00047554372576996684,-0.000795900821685791,6.034970283508301e-05
2020-01-29,0.0,-0.0024170936085283756,-0.014657855033874512,0.0009500086307525635
2020-01-30,0.0,-0.0002363562525715679,-0.0013076066970825195,0.0003705322742462158
2020-01-31,0.0,0.00014088154421187937,-0.0005461573600769043,0.0010369420051574707
2020-02-01,0.0,0.06368477642536163,-0.001344144344329834,0.3167622685432434
2020-02-02,0.0,0.0003847360494546592,-0.00015288591384887695,0.0015294551849365234
2020-02-03,0.0,0.007643383927643299,-0.0003796815872192383,0.035866767168045044
2020-02-04,0.0,-0.0008376240730285645,-0.002307116985321045,0.0004070401191711426
2020-02-05,0.0,0.0009640812641009688,-0.0015891790390014648,0.0026866793632507324
2020-02-06,0.0,-0.0054878233931958675,-0.030371487140655518,0.004262566566467285
2020-02-07,0.0,-0.0001712203084025532,-0.0012775063514709473,0.0006348192691802979
2020-02-08,0.0,-0.004642874002456665,-0.018671929836273193,0.0006370842456817627
2020-02-09,0.0,0.0013573825126513839,-0.00025331974029541016,0.005476921796798706
2020-02-10,0.0,0.0028082430362701416,-0.0022901296615600586,0.017376095056533813
2020-02-11,0.0,0.0004061281797476113,-0.00014072656631469727,0.0013752579689025879
2020-02-12,0.0,0.0013837814331054688,-0.002271592617034912,0.007934421300888062
2020-02-13,0.0,3.057718276977539e-05,-0.0010554790496826172,0.0013718008995056152
2020-02-14,0.0,-0.0009271145099774003,-0.001827538013458252,-8.320808410644531e-05
2020-02-15,0.0,-0.0006266116979531944,-0.00598454475402832,0.005219787359237671
2020-02-16,0.0,0.0004182100237812847,-0.001292884349822998,0.0025243163108825684
2020-02-17,0.0,-0.00018281341181136668,-0.0010561347007751465,0.0005089044570922852
2020-02-18,0.0,3.3771990274544805e-05,-0.0040160417556762695,0.0031218230724334717
2020-02-19,0.0,-0.0008577287080697715,-0.0025278329849243164,0.0006832778453826904
2020-02-20,0.0,0.0009670853614807129,-0.0008746981620788574,0.004758358001708984
2020-02-21,0.0,0.0037813247181475163,-0.0016358494758605957,0.018995225429534912
2020-02-22,0.0,-0.0020865797996520996,-0.011585116386413574,0.002310514450073242
2020-02-23,0.0,-1.3250112715468276e-05,-0.0010599493980407715,0.0008940994739532471
2020-02-24,0.0,0.00031675101490691304,-0.00048547983169555664,0.001574188470840454
2020-02-25,0.0,-0.0003959357854910195,-0.0043468475341796875,0.0015616416931152344
2020-02-26,0.0,-0.00033564568730071187,-0.0018635988235473633,0.000988394021987915
2020-02-27,0.0,-0.0014210582012310624,-0.010691285133361816,0.0036153197288513184
2020-02-28,0.0,0.002198201371356845,-0.0017282962799072266,0.009477853775024414
2020-02-29,0.0,0.005054461769759655,-0.0007151365280151367,0.0241527259349823
2020-03-01,0.0,-0.0003727078437805176,-0.002065718173980713,0.00047895312309265137
2020-03-02,0.0,-0.0006188571569509804,-0.002201855182647705,0.0008870065212249756
2020-03-03,0.0,0.001257181167602539,-0.0003337264060974121,0.0029945075511932373
2020-03-04,0.0,0.0017795444000512362,-0.0026984214782714844,0.00857570767402649
2020-03-05,0.0,-0.00933799147605896,-0.0475926399230957,0.0010120272636413574
2020-03-06,0.0,-0.0005044579738751054,-0.0018507838249206543,0.0014206767082214355
2020-03-07,0.0,0.0009077310678549111,-0.0019133687019348145,0.0031830966472625732
2020-03-08,0.0,0.0007854759460315108,-0.002636849880218506,0.007311135530471802
2020-03-09,0.0,0.004770857281982899,-0.003714919090270996,0.028600245714187622
2020-03-10,0.0,0.00011217594146728516,-0.0006431341171264648,0.0005930662155151367
2020-03-11,0.0,0.0015236377948895097,-0.00043779611587524414,0.007603436708450317
2020-03-12,0.0,0.0008983910083770752,-0.0016699433326721191,0.002842247486114502
2020-03-13,0.0,0.0006373286014422774,-0.0018897652626037598,0.0023673176765441895
2020-03-14,0.0,0.0013063729275017977,-0.0005224347114562988,0.004684239625930786
2020-03-15,0.0,0.3153335452079773,-0.0005429983139038086,1.573294758796692
2020-03-16,1.0,0.9999009966850281,0.9993604421615601,1.0009644031524658
2020-03-17,2.0,1.9995105266571045,1.9977126121520996,2.000821590423584
2020-03-18,2.0,2.5986592769622803,2.0002753734588623,2.9992620944976807
2020-03-19,3.0,3.000194549560547,2.999413251876831,3.001652717590332
2020-03-20,3.0,3.6242549419403076,2.998415470123291,6.1252760887146
2020-03-21,6.0,5.996157646179199,5.985044479370117,6.00197172164917
2020-03-22,6.0,6.4040961265563965,6.0000834465026855,7.021420001983643
2020-03-23,7.0,8.661852836608887,5.31010627746582,16.999174118041992
2020-03-24,17.0,14.990615844726562,6.9820404052734375,17.00043487548828
2020-03-25,17.0,16.99856948852539,16.973398208618164,17.02165412902832
2020-03-26,17.0,17.39837074279785,16.9993953704834,18.989755630493164
2020-03-27,19.0,19.60272216796875,18.993995666503906,22.019624710083008
2020-03-28,22.0,22.001468658447266,21.999431610107422,22.004732131958008
2020-03-29,23.0,22.53944206237793,20.700313568115234,22.999969482421875
2020-03-30,30.0,28.067489624023438,21.022886276245117,30.001876831054688
2020-03-31,30.0,28.210208892822266,21.022727966308594,30.028112411499023
2020-04-01,30.0,30.000173568725586,29.998302459716797,30.001237869262695
2020-04-02,30.0,29.999645233154297,29.99702262878418,30.002038955688477
2020-04-03,37.0,37.59926986694336,36.99409103393555,40.001808166503906
2020-04-04,40.0,40.39883804321289,39.99626159667969,41.98796081542969
2020-04-05,42.0,42.130828857421875,41.996036529541016,42.65357208251953
2020-04-06,43.0,43.00067138671875,42.99810028076172,43.005550384521484
2020-04-07,43.0,43.33330535888672,42.998836517333984,44.66713333129883
2020-04-08,45.0,45.004600524902344,44.9827880859375,45.042198181152344
2020-04-09,45.0,45.00025177001953,44.996482849121094,45.003990173339844
2020-04-10,50.0,50.198204040527344,49.999576568603516,50.9859733581543
2020-04-11,51.0,50.9932746887207,50.968910217285156,51.001094818115234
2020-04-12,51.0,50.998802185058594,50.99547576904297,51.000465393066406
2020-04-13,51.0,50.999168395996094,50.99635696411133,51.00222396850586
2020-04-14,51.0,50.98891830444336,50.9515380859375,51.00222396850586
2020-04-15,51.0,50.98225021362305,50.94046401977539,51.00123977661133
2020-04-16,51.0,50.99575424194336,50.9522819519043,51.04713821411133
2020-04-17,51.0,52.21672439575195,50.99512481689453,53.089473724365234
2020-04-18,53.0,53.00522994995117,52.99915313720703,53.0140495300293
2020-04-19,53.0,53.04230499267578,52.99871826171875,53.14314651489258
2020-04-20,53.0,53.00017547607422,52.99918746948242,53.001670837402344
2020-04-21,53.0,53.06072235107422,53.001014709472656,53.29768371582031
2020-04-22,54.0,53.9449348449707,53.85921859741211,53.99870681762695
2020-04-23,54.0,53.9969367980957,53.98750305175781,54.000648498535156
2020-04-24,54.0,54.144287109375,53.998634338378906,54.721290588378906
2020-04-25,55.0,55.41230392456055,54.99524688720703,57.07762145996094
2020-04-26,57.0,57.00176239013672,57.000389099121094,57.00263214111328
2020-04-27,57.0,56.99999237060547,56.99878692626953,57.00122833251953
2020-04-28,57.0,57.00325393676758,56.998687744140625,57.019256591796875
2020-04-29,57.0,57.00144577026367,56.99985885620117,57.002899169921875
2020-04-30,66.0,62.407981872558594,57.01295471191406,66.0003662109375
2020-05-01,66.0,66.0005874633789,65.99929809570312,66.00215911865234
2020-05-02,66.0,66.17154693603516,65.89537048339844,66.96726989746094
2020-05-03,66.0,66.05477142333984,65.99604797363281,66.2745132446289
2020-05-04,66.0,66.00704193115234,65.99866485595703,66.03641510009766
2020-05-05,66.0,66.00718688964844,65.99676513671875,66.03789520263672
2020-05-06,66.0,66.00032043457031,65.99396514892578,66.00330352783203
2020-05-07,66.0,65.99748229980469,65.99593353271484,65.99920654296875
2020-05-08,68.0,68.00157165527344,68.00015258789062,68.00299072265625
2020-05-09,68.0,68.00212097167969,68.0004653930664,68.00366973876953
2020-05-10,69.0,68.99809265136719,68.99531555175781,68.99906921386719
2020-05-11,69.0,68.99977111816406,68.99886322021484,69.00103759765625
2020-05-12,69.0,69.0002670288086,68.99812316894531,69.00398254394531
2020-05-13,69.0,69.0022201538086,69.0003433227539,69.00516510009766
2020-05-14,69.0,68.99925231933594,68.9958267211914,69.00321197509766
2020-05-15,69.0,68.99678039550781,68.9817123413086,69.00191497802734
2020-05-16,69.0,69.00302124023438,68.99871826171875,69.01586151123047
2020-05-17,69.0,68.9995346069336,68.99840545654297,69.00032806396484
2020-05-18,69.0,68.99977111816406,68.9969253540039,69.0016860961914
2020-05-19,69.0,68.99937438964844,68.99626159667969,69.00112915039062
2020-05-20,69.0,68.99970245361328,68.99329376220703,69.00534057617188
2020-05-21,69.0,68.99900817871094,68.99532318115234,69.0023193359375
2020-05-22,69.0,69.00836181640625,68.9983901977539,69.0217514038086
2020-05-23,69.0,69.03919982910156,69.00204467773438,69.14812469482422
2020-05-24,69.0,69.0364990234375,68.99883270263672,69.1808853149414
2020-05-25,69.0,69.01639556884766,68.99949645996094,69.0810775756836
2020-05-26,69.0,68.97569274902344,68.88862609863281,69.00080871582031
2020-05-27,69.0,69.00001525878906,68.99690246582031,69.00352478027344
2020-05-28,69.0,68.9972152709961,68.99432373046875,68.99913024902344
2020-05-29,69.0,69.00604248046875,68.99923706054688,69.02655792236328
2020-05-30,69.0,69.03096771240234,68.99906921386719,69.12960815429688
