,Virginia,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,75438.4466774459,,
2020-01-25,0.0,75440.54954231475,,
2020-01-26,0.0,75443.04458386367,,
2020-01-27,0.0,75444.36902748834,,
2020-01-28,0.0,75446.92593072109,,
2020-01-29,0.0,75446.96220500782,,
2020-01-30,0.0,75449.16428485757,,
2020-01-31,0.0,75446.5274300112,,
2020-02-01,0.0,75447.22670454891,,
2020-02-02,0.0,75448.23193707225,,
2020-02-03,0.0,75446.51890359465,,
2020-02-04,0.0,75447.37325719166,,
2020-02-05,0.0,75447.67936831432,,
2020-02-06,0.0,75446.63229130463,,
2020-02-07,0.0,75447.4241580708,,
2020-02-08,0.0,75447.35132732423,,
2020-02-09,0.0,75446.77329175144,,
2020-02-10,0.0,75447.4095111326,,
2020-02-11,0.0,75447.16707687557,,
2020-02-12,0.0,75446.90185975321,,
2020-02-13,0.0,75447.35922662719,,
2020-02-14,0.0,75447.07485914805,,
2020-02-15,0.0,75447.00235827625,,
2020-02-16,0.0,75447.2969027582,,
2020-02-17,0.0,75447.0390427793,,
2020-02-18,0.0,75447.07196699656,,
2020-02-19,0.0,75447.23770621193,,
2020-02-20,0.0,75447.03512738612,,
2020-02-21,0.0,75447.11443768592,,
2020-02-22,0.0,75447.18925587073,,
2020-02-23,0.0,75447.04687319035,,
2020-02-24,0.0,75447.13619311675,,
2020-02-25,0.0,75447.15379012995,,
2020-02-26,0.0,75447.06416689788,,
2020-02-27,0.0,75447.14393411626,,
2020-02-28,0.0,75447.1303835152,,
2020-02-29,0.0,75447.08128883001,,
2020-03-01,0.0,75447.14336914029,,
2020-03-02,0.0,75447.11665950518,,
2020-03-03,0.0,75447.09550327116,,
2020-03-04,0.0,75447.13873948152,,
2020-03-05,0.0,75447.10989945932,,
2020-03-06,0.0,75447.10595135928,,
2020-03-07,0.0,75447.13283548607,,
2020-03-08,2.0,75447.10764964235,,
2020-03-09,2.0,75446.04575119891,,
2020-03-10,8.0,75447.23664166273,,
2020-03-11,9.0,75444.2968572705,,
2020-03-12,12.0,75447.0077054646,,
2020-03-13,27.0,75447.15003522654,,
2020-03-14,37.0,75439.62264112338,,
2020-03-15,37.0,75444.91041539151,,
2020-03-16,49.0,75450.1583712117,,
2020-03-17,67.0,75445.35080181561,,
2020-03-18,79.0,75440.82200394788,,
2020-03-19,103.0,75445.37342114709,,
2020-03-20,123.0,75442.23035337942,,
2020-03-21,157.0,75442.2151233076,,
2020-03-22,220.0,75436.8836289786,,
2020-03-23,254.0,75426.70763255288,,
2020-03-24,293.0,75444.56423947428,,
2020-03-25,396.0,75443.74031214831,,
2020-03-26,466.0,75416.13498913507,,
2020-03-27,607.0,75434.64239775951,,
2020-03-28,740.0,75404.55028753755,,
2020-03-29,890.0,75420.48129934138,,
