,Virginia,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,169.7989959716797,0.0,436.4147644042969
2020-02-03,0.0,152.275634765625,0.0,521.4766235351562
2020-02-04,0.0,465.4366760253906,147.01397705078125,828.2247924804688
2020-02-05,0.0,393.0662841796875,66.52564239501953,832.0755004882812
2020-02-06,0.0,526.1587524414062,162.9602813720703,1003.4987182617188
2020-02-07,0.0,675.1277465820312,242.3939208984375,1201.4964599609375
2020-02-08,0.0,687.443115234375,273.4463806152344,1262.55517578125
2020-02-09,0.0,169.7989959716797,0.0,436.4147644042969
2020-02-10,0.0,152.275634765625,0.0,521.4766235351562
2020-02-11,0.0,465.4366760253906,147.01397705078125,828.2247924804688
2020-02-12,0.0,393.0662841796875,66.52564239501953,832.0755004882812
2020-02-13,0.0,526.1587524414062,162.9602813720703,1003.4987182617188
2020-02-14,0.0,675.1277465820312,242.3939208984375,1201.4964599609375
2020-02-15,0.0,687.443115234375,273.4463806152344,1262.55517578125
2020-02-16,0.0,169.7989959716797,0.0,436.4147644042969
2020-02-17,0.0,152.275634765625,0.0,521.4766235351562
2020-02-18,0.0,465.4366760253906,147.01397705078125,828.2247924804688
2020-02-19,0.0,393.0662841796875,66.52564239501953,832.0755004882812
2020-02-20,0.0,526.1587524414062,162.9602813720703,1003.4987182617188
2020-02-21,0.0,675.1277465820312,242.3939208984375,1201.4964599609375
2020-02-22,0.0,687.443115234375,273.4463806152344,1262.55517578125
2020-02-23,0.0,169.7989959716797,0.0,436.4147644042969
2020-02-24,0.0,152.275634765625,0.0,521.4766235351562
2020-02-25,0.0,465.4366760253906,147.01397705078125,828.2247924804688
2020-02-26,0.0,393.0662841796875,66.52564239501953,832.0755004882812
2020-02-27,0.0,526.1587524414062,162.9602813720703,1003.4987182617188
2020-02-28,0.0,675.1277465820312,242.3939208984375,1201.4964599609375
2020-02-29,0.0,687.443115234375,273.4463806152344,1262.55517578125
2020-03-01,0.0,169.7989959716797,0.0,436.4147644042969
2020-03-02,0.0,152.275634765625,0.0,521.4766235351562
2020-03-03,0.0,465.4366760253906,147.01397705078125,828.2247924804688
2020-03-04,0.0,393.0662841796875,66.52564239501953,832.0755004882812
2020-03-05,0.0,526.1587524414062,162.9602813720703,1003.4987182617188
2020-03-06,0.0,675.1277465820312,242.3939208984375,1201.4964599609375
2020-03-07,0.0,687.443115234375,273.4463806152344,1262.55517578125
2020-03-08,2.0,169.7989959716797,0.0,436.4147644042969
2020-03-09,2.0,152.275634765625,0.0,521.4766235351562
