,Wisconsin,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,40511.00515518894,,
2020-01-25,0.0,40508.48711747034,,
2020-01-26,0.0,40509.97405097845,,
2020-01-27,0.0,40512.30167582307,,
2020-01-28,0.0,40515.43853564453,,
2020-01-29,0.0,40520.07419960988,,
2020-01-30,0.0,40524.48557294122,,
2020-01-31,0.0,40525.155024781656,,
2020-02-01,0.0,40521.59730602118,,
2020-02-02,0.0,40517.82712887384,,
2020-02-03,0.0,40515.97190992259,,
2020-02-04,0.0,40515.92243705729,,
2020-02-05,0.0,40517.108156654875,,
2020-02-06,0.0,40518.82783087064,,
2020-02-07,0.0,40520.06770875997,,
2020-02-08,0.0,40519.898262382114,,
2020-02-09,0.0,40518.51883065188,,
2020-02-10,0.0,40517.073928293226,,
2020-02-11,0.0,40516.39026386592,,
2020-02-12,0.0,40516.617597869634,,
2020-02-13,0.0,40517.499445674344,,
2020-02-14,0.0,40518.51989668918,,
2020-02-15,0.0,40519.024510996045,,
2020-02-16,0.0,40518.6464559828,,
2020-02-17,0.0,40517.70555162495,,
2020-02-18,0.0,40516.881647140006,,
2020-02-19,0.0,40516.61825931194,,
2020-02-20,0.0,40516.965942291055,,
2020-02-21,0.0,40517.6835379284,,
2020-02-22,0.0,40518.33831602865,,
2020-02-23,0.0,40518.494107295206,,
2020-02-24,0.0,40518.04462125407,,
2020-02-25,0.0,40517.33365212804,,
2020-02-26,0.0,40516.8323828543,,
2020-02-27,0.0,40516.796101684275,,
2020-02-28,0.0,40517.195369113906,,
2020-02-29,0.0,40517.78081625508,,
2020-03-01,0.0,40518.18756599344,,
2020-03-02,0.0,40518.13977984025,,
2020-03-03,0.0,40517.67876659226,,
2020-03-04,0.0,40517.135063749694,,
2020-03-05,0.0,40516.84684079659,,
2020-03-06,0.0,40516.95136724055,,
2020-03-07,0.0,40517.36113644728,,
2020-03-08,0.0,40517.82449818835,,
2020-03-09,0.0,40518.04451713785,,
2020-03-10,3.0,40517.87170307911,,
2020-03-11,4.0,40515.30964860998,,
2020-03-12,8.0,40516.727259692445,,
2020-03-13,19.0,40514.61275159668,,
2020-03-14,27.0,40510.82186307903,,
2020-03-15,28.0,40514.598052367,,
2020-03-16,48.0,40521.56307617716,,
2020-03-17,73.0,40509.01969928958,,
2020-03-18,111.0,40507.112184492384,,
2020-03-19,159.0,40499.36802284952,,
2020-03-20,219.0,40498.424193533974,,
2020-03-21,282.0,40495.22423158547,,
2020-03-22,381.0,40502.71132615962,,
2020-03-23,425.0,40486.45064848181,,
2020-03-24,481.0,40538.76015036235,,
2020-03-25,621.0,40531.11652384212,,
2020-03-26,728.0,40473.97011580988,,
2020-03-27,926.0,40496.19722729099,,
2020-03-28,1055.0,40435.2797009705,,
2020-03-29,1164.0,40509.85529014711,,
