,Wisconsin,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,100.23685455322266,0.0,272.87554931640625
2020-02-03,0.0,127.36151123046875,0.0,314.7558288574219
2020-02-04,0.0,214.55641174316406,0.0,449.5233459472656
2020-02-05,0.0,304.1964416503906,43.44717025756836,548.2322387695312
2020-02-06,0.0,339.4163513183594,64.2666015625,598.8614501953125
2020-02-07,0.0,357.4843444824219,71.35057067871094,641.5941162109375
2020-02-08,0.0,449.8680725097656,137.62623596191406,729.0335693359375
2020-02-09,0.0,100.23685455322266,0.0,272.87554931640625
2020-02-10,0.0,127.36151123046875,0.0,314.7558288574219
2020-02-11,0.0,214.55641174316406,0.0,449.5233459472656
2020-02-12,0.0,304.1964416503906,43.44717025756836,548.2322387695312
2020-02-13,0.0,339.4163513183594,64.2666015625,598.8614501953125
2020-02-14,0.0,357.4843444824219,71.35057067871094,641.5941162109375
2020-02-15,0.0,449.8680725097656,137.62623596191406,729.0335693359375
2020-02-16,0.0,100.23685455322266,0.0,272.87554931640625
2020-02-17,0.0,127.36151123046875,0.0,314.7558288574219
2020-02-18,0.0,214.55641174316406,0.0,449.5233459472656
2020-02-19,0.0,304.1964416503906,43.44717025756836,548.2322387695312
2020-02-20,0.0,339.4163513183594,64.2666015625,598.8614501953125
2020-02-21,0.0,357.4843444824219,71.35057067871094,641.5941162109375
2020-02-22,0.0,449.8680725097656,137.62623596191406,729.0335693359375
2020-02-23,0.0,100.23685455322266,0.0,272.87554931640625
2020-02-24,0.0,127.36151123046875,0.0,314.7558288574219
2020-02-25,0.0,214.55641174316406,0.0,449.5233459472656
2020-02-26,0.0,304.1964416503906,43.44717025756836,548.2322387695312
2020-02-27,0.0,339.4163513183594,64.2666015625,598.8614501953125
2020-02-28,0.0,357.4843444824219,71.35057067871094,641.5941162109375
2020-02-29,0.0,449.8680725097656,137.62623596191406,729.0335693359375
2020-03-01,0.0,100.23685455322266,0.0,272.87554931640625
2020-03-02,0.0,127.36151123046875,0.0,314.7558288574219
2020-03-03,0.0,214.55641174316406,0.0,449.5233459472656
2020-03-04,0.0,304.1964416503906,43.44717025756836,548.2322387695312
2020-03-05,0.0,339.4163513183594,64.2666015625,598.8614501953125
2020-03-06,0.0,357.4843444824219,71.35057067871094,641.5941162109375
2020-03-07,0.0,449.8680725097656,137.62623596191406,729.0335693359375
2020-03-08,0.0,100.23685455322266,0.0,272.87554931640625
2020-03-09,0.0,127.36151123046875,0.0,314.7558288574219
2020-03-10,3.0,214.55641174316406,0.0,449.5233459472656
