,Wisconsin,forecast,interval_low,interval_high
2020-01-22,0.0,14.217145919799805,-0.36030644178390503,68.11002349853516
2020-01-23,0.0,-0.11935899406671524,-1.3167338371276855,0.7653185725212097
2020-01-24,0.0,0.2768169045448303,0.06536716222763062,0.5957190990447998
2020-01-25,0.0,-2.798607110977173,-13.863333702087402,0.867798924446106
2020-01-26,0.0,0.8167062997817993,-0.19112741947174072,3.6054840087890625
2020-01-27,0.0,-2.6959071159362793,-10.679471969604492,0.3716987073421478
2020-01-28,0.0,0.34246158599853516,-13.690384864807129,14.934724807739258
2020-01-29,0.0,-0.0010276794200763106,-0.18708831071853638,0.20832818746566772
2020-01-30,0.0,-0.21985869109630585,-0.8865983486175537,0.0702313482761383
2020-01-31,0.0,4.860714435577393,-0.08724731206893921,24.13585662841797
2020-02-01,0.0,20.32250213623047,-0.061070382595062256,100.42716979980469
2020-02-02,0.0,-0.3018583655357361,-1.0191097259521484,0.053017109632492065
2020-02-03,0.0,-0.14613907039165497,-0.5420187711715698,0.14105498790740967
2020-02-04,0.0,1.298330545425415,-0.2378673553466797,7.114323616027832
2020-02-05,0.0,0.2656180262565613,-0.760024905204773,0.9325242042541504
2020-02-06,0.0,-1.0309215784072876,-4.835907936096191,0.5414588451385498
2020-02-07,0.0,-0.045601628720760345,-0.7902325391769409,1.740936517715454
2020-02-08,0.0,-0.14888644218444824,-2.215052604675293,0.6423183679580688
2020-02-09,0.0,-2.2972683906555176,-12.039727210998535,0.728320837020874
2020-02-10,0.0,-7.041325569152832,-37.166526794433594,1.580078363418579
2020-02-11,0.0,-0.5684747099876404,-1.9437739849090576,0.2981060743331909
2020-02-12,0.0,0.6067476868629456,-0.15282195806503296,1.709948182106018
2020-02-13,0.0,-0.40536579489707947,-1.883800983428955,0.20545607805252075
2020-02-14,0.0,0.11955370754003525,-0.5525174140930176,0.6860693693161011
2020-02-15,0.0,-0.9317232966423035,-4.546081066131592,0.9267402291297913
