,Wyoming,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,2069.224583801464,,
2020-01-25,0.0,2069.334603479376,,
2020-01-26,0.0,2069.4658649491025,,
2020-01-27,0.0,2069.601627545887,,
2020-01-28,0.0,2069.7058885825822,,
2020-01-29,0.0,2069.819500795606,,
2020-01-30,0.0,2069.923314455018,,
2020-01-31,0.0,2070.0168759013914,,
2020-02-01,0.0,2070.100155744354,,
2020-02-02,0.0,2070.1734674786376,,
2020-02-03,0.0,2070.2373777365947,,
2020-02-04,0.0,2070.2926200826632,,
2020-02-05,0.0,2070.3400199904413,,
2020-02-06,0.0,2070.380434659653,,
2020-02-07,0.0,2070.4147082797426,,
2020-02-08,0.0,2070.4436413944263,,
2020-02-09,0.0,2070.4679720314366,,
2020-02-10,0.0,2070.488365973041,,
2020-02-11,0.0,2070.505413688521,,
2020-02-12,0.0,2070.5196318146586,,
2020-02-13,0.0,2070.5314675069876,,
2020-02-14,0.0,2070.5413044059346,,
2020-02-15,0.0,2070.5494693251944,,
2020-02-16,0.0,2070.5562390606306,,
2020-02-17,0.0,2070.5618469386004,,
2020-02-18,0.0,2070.566488882445,,
2020-02-19,0.0,2070.570328886947,,
2020-02-20,0.0,2070.573503864441,,
2020-02-21,0.0,2070.5761278729265,,
2020-02-22,0.0,2070.5782957640563,,
2020-02-23,0.0,2070.58008630324,,
2020-02-24,0.0,2070.581564819909,,
2020-02-25,0.0,2070.582785446345,,
2020-02-26,0.0,2070.583793000599,,
2020-02-27,0.0,2070.584624564457,,
2020-02-28,0.0,2070.585310802014,,
2020-02-29,0.0,2070.585877058921,,
2020-03-01,0.0,2070.5863442770224,,
2020-03-02,0.0,2070.586729754206,,
2020-03-03,0.0,2070.5870477748476,,
2020-03-04,0.0,2070.5873101323423,,
2020-03-05,0.0,2070.5875265618174,,
2020-03-06,0.0,2070.5877050982153,,
2020-03-07,0.0,2070.5878523724464,,
2020-03-08,0.0,2070.5879738562007,,
2020-03-09,0.0,2070.588074064247,,
2020-03-10,0.0,2070.5881567215374,,
2020-03-11,0.0,2070.5882249012134,,
2020-03-12,1.0,2070.5882811385495,,
2020-03-13,1.0,2069.655434612732,,
2020-03-14,2.0,2070.638496233185,,
2020-03-15,2.0,2069.8007976537883,,
2020-03-16,2.0,2070.7873910151297,,
2020-03-17,11.0,2070.808779824402,,
2020-03-18,16.0,2062.4312420869187,,
2020-03-19,18.0,2066.5244431103197,,
2020-03-20,21.0,2070.4321858514404,,
2020-03-21,23.0,2070.0807854051695,,
2020-03-22,26.0,2070.686116919153,,
2020-03-23,26.0,2069.8935021789953,,
2020-03-24,29.0,2072.8138912813984,,
2020-03-25,44.0,2069.9081840553054,,
2020-03-26,53.0,2058.568548931289,,
2020-03-27,70.0,2064.796977515825,,
