,Wyoming,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,7.1265034675598145,0.0,19.37629508972168
2020-02-03,0.0,10.077936172485352,0.0,21.903722763061523
2020-02-04,0.0,8.864581108093262,0.0,25.011018753051758
2020-02-05,0.0,19.77088737487793,0.0,34.80900955200195
2020-02-06,0.0,18.640474319458008,0.0,37.00442123413086
2020-02-07,0.0,22.141016006469727,0.0,41.146148681640625
2020-02-08,0.0,25.617158889770508,0.0,47.49729919433594
2020-02-09,0.0,7.1265034675598145,0.0,19.37629508972168
2020-02-10,0.0,10.077936172485352,0.0,21.903722763061523
2020-02-11,0.0,8.864581108093262,0.0,25.011018753051758
2020-02-12,0.0,19.77088737487793,0.0,34.80900955200195
2020-02-13,0.0,18.640474319458008,0.0,37.00442123413086
2020-02-14,0.0,22.141016006469727,0.0,41.146148681640625
2020-02-15,0.0,25.617158889770508,0.0,47.49729919433594
2020-02-16,0.0,7.1265034675598145,0.0,19.37629508972168
2020-02-17,0.0,10.077936172485352,0.0,21.903722763061523
2020-02-18,0.0,8.864581108093262,0.0,25.011018753051758
2020-02-19,0.0,19.77088737487793,0.0,34.80900955200195
2020-02-20,0.0,18.640474319458008,0.0,37.00442123413086
2020-02-21,0.0,22.141016006469727,0.0,41.146148681640625
2020-02-22,0.0,25.617158889770508,0.0,47.49729919433594
2020-02-23,0.0,7.1265034675598145,0.0,19.37629508972168
2020-02-24,0.0,10.077936172485352,0.0,21.903722763061523
2020-02-25,0.0,8.864581108093262,0.0,25.011018753051758
2020-02-26,0.0,19.77088737487793,0.0,34.80900955200195
2020-02-27,0.0,18.640474319458008,0.0,37.00442123413086
2020-02-28,0.0,22.141016006469727,0.0,41.146148681640625
2020-02-29,0.0,25.617158889770508,0.0,47.49729919433594
2020-03-01,0.0,7.1265034675598145,0.0,19.37629508972168
2020-03-02,0.0,10.077936172485352,0.0,21.903722763061523
2020-03-03,0.0,8.864581108093262,0.0,25.011018753051758
2020-03-04,0.0,19.77088737487793,0.0,34.80900955200195
2020-03-05,0.0,18.640474319458008,0.0,37.00442123413086
2020-03-06,0.0,22.141016006469727,0.0,41.146148681640625
2020-03-07,0.0,25.617158889770508,0.0,47.49729919433594
2020-03-08,0.0,7.1265034675598145,0.0,19.37629508972168
2020-03-09,0.0,10.077936172485352,0.0,21.903722763061523
2020-03-10,0.0,8.864581108093262,0.0,25.011018753051758
2020-03-11,0.0,19.77088737487793,0.0,34.80900955200195
2020-03-12,1.0,18.640474319458008,0.0,37.00442123413086
