,Wyoming,forecast,interval_low,interval_high
2020-01-22,0.0,0.06395722925662994,0.0016384720802307129,0.2557266354560852
2020-01-23,0.0,-0.050598762929439545,-0.15592831373214722,0.0501323938369751
2020-01-24,0.0,0.003097486449405551,-0.06404638290405273,0.04208973050117493
2020-01-25,0.0,-0.1330079734325409,-0.4481901526451111,0.029187768697738647
2020-01-26,0.0,-0.3526364862918854,-1.7715611457824707,0.025978893041610718
2020-01-27,0.0,0.004665273241698742,-0.004539549350738525,0.012682735919952393
2020-01-28,0.0,0.3233124315738678,-0.17717885971069336,1.8872073888778687
2020-01-29,0.0,0.014842498116195202,-0.09314799308776855,0.11351099610328674
2020-01-30,0.0,-0.012273591943085194,-0.06487125158309937,0.012544214725494385
2020-01-31,0.0,-0.019584577530622482,-0.1343604326248169,0.03876420855522156
2020-02-01,0.0,0.04223858192563057,-0.04418909549713135,0.2732585072517395
2020-02-02,0.0,-0.07924780249595642,-0.4139314293861389,0.02024775743484497
2020-02-03,0.0,-0.01427071075886488,-0.03799545764923096,-0.0001805424690246582
2020-02-04,0.0,0.010080385021865368,-0.0011785030364990234,0.02470812201499939
2020-02-05,0.0,-0.03449767827987671,-0.4698309898376465,0.33949410915374756
2020-02-06,0.0,0.010081226006150246,-0.10979193449020386,0.07611677050590515
2020-02-07,0.0,-0.022679973393678665,-0.03921473026275635,-0.00225985050201416
2020-02-08,0.0,-0.08849033713340759,-0.4684184789657593,0.02021414041519165
2020-02-09,0.0,0.022958576679229736,-0.018098413944244385,0.09307515621185303
2020-02-10,0.0,-0.024790560826659203,-0.32398027181625366,0.18303677439689636
2020-02-11,0.0,0.038723576813936234,-0.5150479078292847,0.7482657432556152
2020-02-12,0.0,-0.0053490460850298405,-0.04065030813217163,0.05516210198402405
2020-02-13,0.0,0.00871860422194004,-0.027737915515899658,0.042371124029159546
2020-02-14,0.0,-0.01814301684498787,-0.1134105920791626,0.07630464434623718
2020-02-15,0.0,0.01052623987197876,-0.1640276312828064,0.09683451056480408
2020-02-16,0.0,0.4275745451450348,-0.07231652736663818,2.216008186340332
2020-02-17,0.0,0.07843610644340515,-0.03396785259246826,0.2888064384460449
2020-02-18,0.0,-0.04277389124035835,-0.3094636797904968,0.026335060596466064
2020-02-19,0.0,0.0622854009270668,-0.034688591957092285,0.25060632824897766
2020-02-20,0.0,-0.06297000497579575,-0.12474143505096436,-0.016090095043182373
2020-02-21,0.0,0.01749340258538723,-0.0700535774230957,0.14101073145866394
2020-02-22,0.0,-0.07682438939809799,-0.25752443075180054,0.010526716709136963
2020-02-23,0.0,0.07268514484167099,-0.0169217586517334,0.3121705651283264
2020-02-24,0.0,-0.015723664313554764,-0.08158940076828003,0.019686877727508545
2020-02-25,0.0,0.056937843561172485,-0.027547240257263184,0.2584635615348816
2020-02-26,0.0,-0.02872578427195549,-0.28899508714675903,0.07378444075584412
2020-02-27,0.0,0.017147814854979515,-0.029249131679534912,0.0851084291934967
2020-02-28,0.0,-0.004184788558632135,-0.046114563941955566,0.015165358781814575
2020-02-29,0.0,-0.011277931742370129,-0.033789753913879395,0.0011813938617706299
2020-03-01,0.0,0.09936660528182983,-0.10118281841278076,0.2842656970024109
2020-03-02,0.0,-0.017697323113679886,-0.03674447536468506,-0.0040010809898376465
2020-03-03,0.0,-0.005978435277938843,-0.03995251655578613,0.01690426468849182
2020-03-04,0.0,-0.004821032285690308,-0.07729071378707886,0.0906570553779602
2020-03-05,0.0,0.020689552649855614,0.007159769535064697,0.03900483250617981
2020-03-06,0.0,-0.006859004497528076,-0.018802285194396973,0.01762235164642334
2020-03-07,0.0,0.010930913500487804,-0.028869211673736572,0.041342079639434814
2020-03-08,0.0,-0.020099276676774025,-0.10923224687576294,0.01821279525756836
2020-03-09,0.0,0.009051251225173473,-0.010880231857299805,0.041701048612594604
2020-03-10,0.0,-0.015912795439362526,-0.11746406555175781,0.026635289192199707
2020-03-11,0.0,0.7976954579353333,-0.11257344484329224,4.1132893562316895
2020-03-12,1.0,0.7744616270065308,-0.11546635627746582,1.1302907466888428
2020-03-13,1.0,1.3580204248428345,0.9750216007232666,1.8915364742279053
2020-03-14,2.0,1.9925081729888916,1.929168462753296,2.0267221927642822
2020-03-15,2.0,2.037829875946045,1.9786884784698486,2.234727382659912
2020-03-16,2.0,3.7682461738586426,1.9502493143081665,10.856282234191895
2020-03-17,11.0,11.003901481628418,10.915033340454102,11.098031997680664
2020-03-18,16.0,16.004907608032227,15.9327392578125,16.082130432128906
2020-03-19,18.0,17.99696159362793,17.857627868652344,18.1657657623291
2020-03-20,21.0,20.39624786376953,17.99308967590332,21.138126373291016
2020-03-21,23.0,24.120798110961914,23.0046329498291,25.83005714416504
2020-03-22,26.0,25.654281616210938,24.27627944946289,26.028444290161133
2020-03-23,26.0,30.00459861755371,25.91352081298828,46.114627838134766
2020-03-24,29.0,31.99070167541504,29.005321502685547,43.8120231628418
2020-03-25,44.0,43.93375778198242,43.88979721069336,43.98717498779297
2020-03-26,53.0,56.583831787109375,52.96360397338867,70.68609619140625
2020-03-27,70.0,74.6594467163086,69.80205535888672,81.8979721069336
2020-03-28,82.0,81.99671936035156,81.94783020019531,82.08657836914062
2020-03-29,86.0,87.39447784423828,86.01077270507812,92.87828063964844
2020-03-30,94.0,94.00370788574219,93.9628677368164,94.0606460571289
2020-03-31,109.0,108.99151611328125,108.92245483398438,109.01842498779297
2020-04-01,130.0,130.0146484375,129.99551391601562,130.0348358154297
2020-04-02,150.0,148.59744262695312,131.69754028320312,161.2732696533203
2020-04-03,162.0,171.0991973876953,162.00259399414062,186.83209228515625
2020-04-04,187.0,188.9853515625,186.92074584960938,197.06056213378906
2020-04-05,197.0,205.8313751220703,186.294921875,225.99742126464844
2020-04-06,210.0,212.7868194580078,209.99990844726562,220.49685668945312
2020-04-07,216.0,215.9799346923828,215.8891143798828,216.03765869140625
2020-04-08,221.0,222.7870635986328,220.99771118164062,229.688232421875
2020-04-09,230.0,231.44223022460938,229.69314575195312,237.62220764160156
